player,position,team,birth_year,minutes_90s,tackles,tackles_won,blocks,interceptions,clearances
Benjamin Pavard,DF,France,1996,1,0,0,3,1,0
Bernardo Silva,MF,Portugal,1994,4,2,2,3,2,0
Bilal El Khannous,MF,Morocco,2004,0.6,0,0,1,0,2
Borna Barišić,DF,Croatia,1992,1.3,1,1,1,0,4
Borna Sosa,DF,Croatia,1998,4.7,14,6,4,2,18
Boualem Khoukhi,DF,Qatar,1990,3,2,2,6,3,18
Boulaye Dia,FW,Senegal,1996,3.5,1,0,1,1,3
Brandon Aguilera,MF,Costa Rica,2003,1,2,0,1,1,0
Breel Embolo,FW,Switzerland,1997,3.6,1,0,2,0,1
Brenden Aaronson,MF,United States,2000,1.2,3,2,5,1,0
Brennan Johnson,FW,Wales,2001,1,0,0,1,0,1
Bruno Fernandes,FW,Portugal,1994,4,4,3,7,2,4
Bruno Guimarães,MF,Brazil,1997,0.8,0,0,1,0,0
Bruno Petković,FW,Croatia,1994,2.6,6,4,3,0,0
Bryan Mbeumo,FW,Cameroon,1999,2.6,0,0,1,1,2
Bryan Oviedo,DF,Costa Rica,1990,2.9,6,5,3,3,7
Bryan Ruiz,MF,Costa Rica,1985,0.3,1,1,1,0,0
Bukayo Saka,FW,England,2001,3.2,7,4,5,2,2
Callum Wilson,FW,England,1992,0.5,0,0,0,0,0
Cameron Carter-Vickers,DF,United States,1997,1,0,0,1,0,4
Carlos Gruezo,MF,Ecuador,1995,0.5,2,2,0,0,0
Carlos Martínez,DF,Costa Rica,1999,0.5,1,1,1,1,1
Carlos Soler,MF,Spain,1997,1,0,0,0,0,0
Casemiro,MF,Brazil,1992,4.3,11,4,13,7,5
Celso Borges,MF,Costa Rica,1988,2.8,5,1,8,4,7
Charles De Ketelaere,FW,Belgium,2001,0.2,0,0,0,0,0
Charly Rodríguez,MF,Mexico,1997,0.4,0,0,2,0,0
Cheikhou Kouyaté,MF,Senegal,1989,0.8,0,0,2,2,4
Cho Guesung,FW,Korea Republic,1998,3.1,0,0,3,0,3
Cho Yumin,FW,Korea Republic,1996,0,0,0,0,0,0
Chris Mepham,DF,Wales,1997,3,8,6,3,1,16
Christian Bassogog,MF,Cameroon,1995,0.3,0,0,0,1,0
Christian Eriksen,MF,Denmark,1992,3,1,0,5,0,1
Christian Fassnacht,FW,Switzerland,1993,0.1,0,0,0,0,1
Christian Nørgaard,MF,Denmark,1994,0.1,0,0,0,0,0
Christian Pulisic,FW,United States,1998,3.5,2,0,2,0,1
Christopher Wooh,DF,Cameroon,2001,1,1,0,3,1,6
Cody Gakpo,FW,Netherlands,1999,5,8,2,10,3,6
Collins Fai,DF,Cameroon,1992,3,5,2,2,4,7
Connor Roberts,DF,Wales,1995,2.2,3,3,2,1,7
Craig Goodwin,MF,Australia,1991,2.6,4,3,3,0,3
Cristian Romero,DF,Argentina,1998,6.1,5,3,6,4,26
Cristiano Ronaldo,FW,Portugal,1985,3.2,0,0,0,0,1
Cyle Larin,FW,Canada,1995,1.5,0,0,0,0,2
César Azpilicueta,DF,Spain,1989,1.5,1,0,2,1,0
César Montes,DF,Mexico,1997,3,6,3,0,2,11
Daichi Kamada,FW,Japan,1996,3.6,7,3,3,0,3
Daizen Maeda,FW,Japan,1997,2,3,2,4,3,0
Daley Blind,DF,Netherlands,1990,4.7,14,9,6,5,4
Damian Szymański,MF,Poland,1995,0.3,0,0,0,1,0
Dani Alves,DF,Brazil,1983,1.3,5,4,1,2,2
Dani Carvajal,DF,Spain,1992,1.5,1,1,0,2,1
Dani Olmo,FW,Spain,1998,4.1,5,3,5,1,4
Daniel Amartey,DF,Ghana,1994,2.8,6,4,4,3,12
Daniel Chacón,MF,Costa Rica,2001,0,0,0,0,0,1
Daniel James,FW,Wales,1997,1.7,1,1,2,0,1
Daniel Kyereh,MF,Ghana,1996,0.4,2,2,0,0,4
Danilo,DF,Brazil,1991,3.1,5,2,2,3,5
Danilo Pereira,DF,Portugal,1991,1,2,2,1,3,3
Danny Ward,GK,Wales,1993,1,0,0,0,0,0
Darko Lazović,DF,Serbia,1990,0.3,0,0,0,0,0
Darwin Núñez,FW,Uruguay,1999,2.7,3,2,2,0,2
David Raum,DF,Germany,1998,2.7,6,3,10,7,2
David Wotherspoon,MF,Canada,1990,0.2,0,0,1,0,0
Davy Klaassen,MF,Netherlands,1993,2.1,3,2,2,1,2
Dayot Upamecano,DF,France,1998,5.3,11,7,5,6,13
DeAndre Yedlin,DF,United States,1993,0.4,2,1,0,0,2
Declan Rice,MF,England,1999,4.6,6,5,4,11,5
Dejan Lovren,DF,Croatia,1989,6.7,7,2,7,6,29
Denis Odoi,DF,Ghana,1988,0.1,1,0,2,0,2
Denis Zakaria,MF,Switzerland,1996,0.7,0,0,1,3,1
Denzel Dumfries,DF,Netherlands,1996,5.3,8,5,5,7,6
Devis Epassy,GK,Cameroon,1993,2,0,0,0,0,2
Diego Godín,DF,Uruguay,1986,1.7,0,0,0,1,9
Diogo Costa,GK,Portugal,1999,5,1,0,0,0,4
Diogo Dalot,DF,Portugal,1999,2.9,8,6,7,2,1
Djibril Sow,MF,Switzerland,1997,2.9,2,1,0,2,0
Djorkaeff Reasco,FW,Ecuador,1999,0.3,0,0,0,0,0
Dominik Livaković,GK,Croatia,1995,7.7,0,0,0,0,0
Dries Mertens,MF,Belgium,1987,0.8,2,0,0,0,0
Dušan Tadić,MF,Serbia,1988,2.9,4,2,4,1,0
Dušan Vlahović,FW,Serbia,2000,0.9,1,0,0,0,0
Dylan Bronn,DF,Tunisia,1995,1.8,4,2,2,0,0
Eden Hazard,MF,Belgium,1991,1.4,0,0,1,1,0
Ederson,GK,Brazil,1993,1,0,0,0,0,0
Edimilson Fernandes,FW,Switzerland,1996,1.6,2,1,3,2,3
Edinson Cavani,FW,Uruguay,1987,1.4,0,0,0,0,0
Edouard Mendy,GK,Senegal,1992,4,0,0,1,0,3
Edson Álvarez,MF,Mexico,1997,1.9,3,2,1,4,2
Eduardo Camavinga,DF,France,2002,1.6,14,9,4,3,6
Ehsan Hajsafi,MF,IR Iran,1990,2.6,6,3,3,2,2
Ellyes Skhiri,MF,Tunisia,1995,3,10,3,2,7,3
Emiliano Martínez,GK,Argentina,1992,7.7,0,0,0,0,3
Enner Valencia,FW,Ecuador,1989,2.8,2,0,3,1,2
Enzo Ebosse,DF,Cameroon,1999,1,4,2,1,0,5
Enzo Fernández,MF,Argentina,2001,6.3,22,15,7,3,7
Eray Cömert,DF,Switzerland,1998,0.5,0,0,1,2,2
Eric Dier,DF,England,1994,0.4,1,1,0,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,1989,2.8,4,2,0,1,1
Erick Gutiérrez,MF,Mexico,1995,0.5,1,1,0,2,1
Ethan Ampadu,MF,Wales,2000,2.8,4,3,9,4,10
Everton Ribeiro,MF,Brazil,1989,0.4,1,0,0,0,0
Exequiel Palacios,MF,Argentina,1998,0.6,0,0,0,2,1
Fabian Frei,MF,Switzerland,1989,0.3,1,1,0,1,0
Fabian Rieder,FW,Switzerland,2002,0.8,3,2,2,0,1
Fabian Schär,DF,Switzerland,1991,1.5,2,1,1,2,7
Fabinho,MF,Brazil,1993,1,3,2,0,1,2
Facundo Pellistri,MF,Uruguay,2001,2,2,1,1,0,2
Famara Diedhiou,FW,Senegal,1992,1,0,0,0,0,2
Federico Valverde,MF,Uruguay,1998,3,7,4,6,5,1
Ferjani Sassi,MF,Tunisia,1992,0.5,2,0,1,1,0
Ferrán Torres,FW,Spain,2000,2.4,0,0,1,0,0
Filip Kostić,DF,Serbia,1992,2,6,3,3,0,1
Filip Mladenović,DF,Serbia,1991,0.7,0,0,1,0,1
