player,position,team,birth_year,minutes_90s,goals,shots,shots_on_target
Moumi Ngamaleu,FW,Cameroon,1994,1.1,0,0,0
Munir,GK,Morocco,1989,1,0,0,0
Musab Kheder,DF,Qatar,1993,0.1,0,0,0
Na Sang-ho,FW,Korea Republic,1996,1.3,0,1,1
Nader Ghandri,DF,Tunisia,1995,1,0,0,0
Nahuel Molina,DF,Argentina,1998,6.3,1,2,1
Nampalys Mendy,MF,Senegal,1992,3,0,2,0
Nasser Al-Dawsari,FW,Saudi Arabia,1998,0.1,0,0,0
Nathan Aké,DF,Netherlands,1995,5.3,0,0,0
Nathaniel Atkinson,DF,Australia,1999,0.9,0,0,0
Nawaf Al Abed,MF,Saudi Arabia,1990,1,0,2,0
Nayef Aguerd,DF,Morocco,1996,3.9,0,1,0
Naïm Sliti,MF,Tunisia,1992,1.3,0,1,0
Neco Williams,DF,Wales,2001,2.3,0,3,0
Nemanja Gudelj,MF,Serbia,1991,1,0,0,0
Nemanja Maksimović,MF,Serbia,1995,1.4,0,0,0
Nemanja Radonjić,DF,Serbia,1996,0.7,0,2,0
Neymar,MF,Brazil,1992,3.1,2,11,6
Niclas Füllkrug,FW,Germany,1993,0.8,2,8,3
Nico Elvedi,DF,Switzerland,1996,2,0,1,0
Nico Schlotterbeck,DF,Germany,1999,1,0,0,0
Nico Williams,FW,Spain,2002,1.6,0,1,0
Nicola Zalewski,MF,Poland,2002,0.7,0,0,0
Nicolas Jackson,FW,Senegal,2001,0.2,0,0,0
Nicolas Nkoulou,DF,Cameroon,1990,2,0,3,1
Nicolás De La Cruz,MF,Uruguay,1997,0.4,0,1,1
Nicolás Otamendi,DF,Argentina,1988,7.7,0,1,0
Nicolás Tagliafico,DF,Argentina,1992,4.1,0,3,1
Niklas Süle,DF,Germany,1995,3,0,1,0
Nikola Milenković,DF,Serbia,1997,3,0,3,0
Nikola Vlašić,FW,Croatia,1997,2.3,0,5,1
Noa Lang,MF,Netherlands,1999,0.1,0,0,0
Noah Okafor,FW,Switzerland,2000,0.5,0,1,0
Nouhou Tolo,DF,Cameroon,1997,3,0,0,0
Noussair Mazraoui,DF,Morocco,1997,4.1,0,4,2
Nuno Mendes,DF,Portugal,2002,0.5,0,0,0
Néstor Araujo,DF,Mexico,1991,1,0,0,0
Olivier Giroud,FW,France,1986,4.7,4,16,6
Olivier Ntcham,MF,Cameroon,1996,0.3,0,1,1
Orbelín Pineda,MF,Mexico,1996,0.8,0,4,1
Osman Bukari,MF,Ghana,1998,0.7,1,3,1
Otávio,MF,Portugal,1995,2.2,0,3,2
Ousmane Dembélé,FW,France,1997,4.8,0,8,2
Pablo Sarabia,FW,Spain,1992,0,0,1,0
Paik Seung-ho,MF,Korea Republic,1997,0.3,1,1,1
Pape Abou Cissé,DF,Senegal,1995,1.2,0,0,0
Pape Gueye,MF,Senegal,1999,1.7,0,4,2
Pape Matar Sarr,MF,Senegal,2002,0.7,0,4,0
Papu Gómez,MF,Argentina,1988,1.2,0,2,0
Pathé Ciss,MF,Senegal,1994,1.6,0,1,0
Pau Torres,DF,Spain,1997,1,0,0,0
Paulo Dybala,FW,Argentina,1993,0.2,0,0,0
Pedri,MF,Spain,2002,4,0,0,0
Pedro,FW,Brazil,1997,0.7,0,4,1
Pepe,DF,Portugal,1983,4,1,3,1
Pervis Estupiñán,DF,Ecuador,1998,3,0,1,1
Phil Foden,FW,England,2000,2.9,1,6,1
Piero Hincapié,DF,Ecuador,2002,3,0,0,0
Pierre Højbjerg,MF,Denmark,1995,3,0,2,1
Pierre Kunde,MF,Cameroon,1995,1.5,0,5,2
Piotr Zieliński,MF,Poland,1994,3.6,1,3,2
Przemysław Frankowski,MF,Poland,1995,2.7,0,1,0
Rafael Leão,FW,Portugal,1999,1,2,5,2
Raheem Sterling,FW,England,1994,1.7,1,1,1
Ramin Rezaeian,DF,IR Iran,1990,2,1,2,1
Randal Kolo Muani,FW,France,1998,2,1,4,2
Raphaël Guerreiro,DF,Portugal,1993,3.1,1,3,1
Raphaël Varane,DF,France,1993,5.8,0,3,0
Raphinha,FW,Brazil,1996,3.5,0,8,6
Rasmus Nissen,DF,Denmark,1997,2.5,0,0,0
Raúl Jiménez,FW,Mexico,1991,0.7,0,0,0
Remo Freuler,MF,Switzerland,1992,3.6,1,3,1
Renato Steffen,FW,Switzerland,1991,0.4,0,0,0
Ricardo Horta,FW,Portugal,1994,1.3,1,3,2
Ricardo Rodríguez,DF,Switzerland,1992,4,0,0,0
Richarlison,FW,Brazil,1997,3.6,3,8,4
Richie Laryea,DF,Canada,1995,1.8,0,2,0
Riley McGree,FW,Australia,1998,2.9,0,3,1
Ritsu Doan,FW,Japan,1998,2.4,2,4,3
Riyadh Sharahili,MF,Saudi Arabia,1993,0.6,0,0,0
Roan Wilson,MF,Costa Rica,2002,0,0,0,0
Robert Lewandowski,FW,Poland,1988,4,2,10,2
Robert Skov,DF,Denmark,1996,0.2,0,0,0
Roberto Alvarado,FW,Mexico,1998,0.2,0,0,0
Rodri,DF,Spain,1996,4.3,0,1,0
Rodrigo Bentancur,MF,Uruguay,1997,2.4,0,3,1
Rodrigo De Paul,MF,Argentina,1994,6.7,0,7,3
Rodrygo,MF,Brazil,2001,2,0,6,2
Rogelio Funes Mori,FW,Mexico,1991,0.1,0,1,0
Romain Saïss,DF,Morocco,1990,5.2,1,1,1
Romario Ibarra,MF,Ecuador,1994,0.8,0,2,1
Romelu Lukaku,FW,Belgium,1993,0.6,0,5,2
Roozbeh Cheshmi,DF,IR Iran,1993,0.6,1,1,1
Ruben Vargas,FW,Switzerland,1998,3.2,0,3,1
Rubin Colwill,MF,Wales,2002,0.1,0,1,0
Ró-Ró,DF,Qatar,1990,2.9,0,2,0
Rónald Matarrita,DF,Costa Rica,1994,0.3,0,0,0
Rúben Dias,DF,Portugal,1997,4,0,1,0
Rúben Neves,MF,Portugal,1997,3,0,2,0
Saad Al Sheeb,GK,Qatar,1990,1,0,0,0
Sadegh Moharrami,DF,IR Iran,1996,1,0,0,0
Saeid Ezatolahi,MF,IR Iran,1996,2.4,0,3,1
Saleh Al-Shehri,FW,Saudi Arabia,1993,2.5,1,2,2
Salem Al-Dawsari,MF,Saudi Arabia,1991,3,2,6,4
Salis Abdul Samed,MF,Ghana,2000,2.8,0,1,0
Salman Al-Faraj,MF,Saudi Arabia,1989,0.5,0,0,0
Sam Adekugbe,DF,Canada,1995,1.1,0,0,0
Saman Ghoddos,MF,IR Iran,1993,0.5,0,1,0
Sami Al-Najei,MF,Saudi Arabia,1997,0.5,0,0,0
Samuel Oum Gouet,MF,Cameroon,1997,1.1,0,0,0
Sardar Azmoun,FW,IR Iran,1995,1.4,0,5,3
Saud Abdulhamid,DF,Saudi Arabia,1999,3,0,1,0
Saša Lukić,MF,Serbia,1996,2.7,0,1,0
Sebastian Szymański,MF,Poland,1999,1.5,0,0,0
Sebastián Coates,DF,Uruguay,1990,2,0,1,0
Selim Amallah,MF,Morocco,1996,4.5,0,2,0
Serge Gnabry,FW,Germany,1995,2.9,1,12,4
Sergej Milinković-Savić,MF,Serbia,1995,2.6,1,3,1
Sergio Busquets,MF,Spain,1988,4,0,2,0
Sergio Rochet,GK,Uruguay,1993,3,0,0,0
Sergiño Dest,DF,United States,2000,3.4,0,6,0
Shaquell Moore,DF,United States,1996,0.2,0,0,0
Shogo Taniguchi,DF,Japan,1991,2.3,0,2,0
Shūichi Gonda,GK,Japan,1989,4.3,0,0,0
Silvan Widmer,DF,Switzerland,1993,2.9,0,1,0
Simon Kjær,DF,Denmark,1989,0.7,0,0,0
Sofiane Boufal,FW,Morocco,1993,5.3,0,7,1
Sofyan Amrabat,MF,Morocco,1996,7.3,0,1,0
Son Heung-min,FW,Korea Republic,1992,4,0,9,3
Son Jun-ho,MF,Korea Republic,1992,0.8,0,0,0
Sorba Thomas,MF,Wales,1999,0,0,0,0
Srđan Babić,DF,Serbia,1996,0.1,0,0,0
Stefan Mitrović,DF,Serbia,1990,0.4,0,0,0
Stephen Eustáquio,MF,Canada,1996,1.4,0,3,0
Steve Mandanda,GK,France,1985,1,0,0,0
Steven Berghuis,MF,Netherlands,1991,2.2,0,5,0
Steven Bergwijn,FW,Netherlands,1997,2.4,0,2,0
Steven Vitória,DF,Canada,1987,3,0,0,0
Strahinja Pavlović,DF,Serbia,2001,2.6,1,2,1
Sultan Al-Ghanam,DF,Saudi Arabia,1994,1.4,0,2,0
Taha Yassine Khenissi,FW,Tunisia,1992,0.3,0,1,0
Tajon Buchanan,MF,Canada,1999,2.9,0,5,0
Takefusa Kubo,FW,Japan,2001,1,0,0,0
Takehiro Tomiyasu,DF,Japan,1998,2.1,0,0,0
Takuma Asano,FW,Japan,1994,1.8,1,8,2
Takumi Minamino,FW,Japan,1995,0.7,0,2,1
Tarek Salman,DF,Qatar,1997,0.1,0,0,0
Tariq Lamptey,DF,Ghana,2000,1.1,0,1,0
Teun Koopmeiners,MF,Netherlands,1998,2.4,0,2,1
Theo Hernández,DF,France,1997,5.6,1,5,2
Thiago Almada,MF,Argentina,2001,0.1,0,0,0
Thiago Silva,DF,Brazil,1984,4.3,0,2,0
Thibaut Courtois,GK,Belgium,1992,3,0,0,0
Thilo Kehrer,DF,Germany,1996,0.8,0,0,0
Thomas Delaney,MF,Denmark,1991,0.5,0,0,0
Thomas Meunier,DF,Belgium,1991,2.3,0,3,1
Thomas Müller,FW,Germany,1989,2.2,0,3,0
Thomas Partey,MF,Ghana,1993,3,0,2,0
Thorgan Hazard,FW,Belgium,1993,1.2,0,0,0
Tim Ream,DF,United States,1987,4,0,1,0
Timothy Castagne,DF,Belgium,1995,3,0,0,0
Timothy Weah,FW,United States,2000,3.5,1,5,3
Toby Alderweireld,DF,Belgium,1989,3,0,0,0
Trent Alexander-Arnold,DF,England,1998,0.4,0,0,0
Tyler Adams,MF,United States,1999,4,0,1,0
Unai Simón,GK,Spain,1997,4.3,0,0,0
Uriel Antuna,FW,Mexico,1997,0.9,0,2,1
Vanja Milinković-Savić,GK,Serbia,1997,3,0,0,0
Victor Nelsson,DF,Denmark,1998,1,0,0,0
Vincent Aboubakar,FW,Cameroon,1992,1.6,2,6,3
Vincent Janssen,FW,Netherlands,1994,1,0,2,0
Vinicius Júnior,FW,Brazil,2000,3.3,1,9,4
Virgil van Dijk,DF,Netherlands,1991,5.3,0,3,0
Vitinha,MF,Portugal,2000,1.3,0,2,2
Wahbi Khazri,FW,Tunisia,1991,0.9,1,5,3
Wajdi Kechrida,DF,Tunisia,1995,1.2,0,0,0
Walid Cheddira,FW,Morocco,1998,0.7,0,2,1
Walker Zimmerman,DF,United States,1993,3.1,0,1,0
Wataru Endo,MF,Japan,1993,3.4,0,6,1
Wayne Hennessey,GK,Wales,1987,1.9,0,0,0
Weston McKennie,MF,United States,1998,3,0,5,1
William Carvalho,MF,Portugal,1992,2.4,0,1,0
William Saliba,DF,France,2001,0.3,0,0,0
Wojciech Szczęsny,GK,Poland,1990,4,0,0,0
Wout Weghorst,FW,Netherlands,1992,0.7,2,2,2
Wéverton,GK,Brazil,1987,0.1,0,0,0
Xavi Simons,FW,Netherlands,2003,0.1,0,0,0
Xherdan Shaqiri,FW,Switzerland,1991,2.5,1,4,2
Yahya Attiat Allah,DF,Morocco,1995,3.5,0,2,0
Yahya Jabrane,MF,Morocco,1991,0.2,0,0,0
Yann Sommer,GK,Switzerland,1988,3,0,0,0
Yannick Carrasco,FW,Belgium,1993,1.3,0,4,0
Yasser Al-Shahrani,DF,Saudi Arabia,1992,1,0,0,0
Yassine Bounou,GK,Morocco,1991,6.3,0,0,0
Yassine Meriah,DF,Tunisia,1993,3,0,1,0
Yeltsin Tejeda,MF,Costa Rica,1992,3,1,2,2
Youri Tielemans,MF,Belgium,1997,1.1,0,0,0
Youssef En-Nesyri,FW,Morocco,1997,6,2,9,3
Youssef Msakni,MF,Tunisia,1990,1.9,0,9,2
Youssouf Fofana,MF,France,1999,2.5,0,4,0
Youssouf Sabaly,DF,Senegal,1993,4,0,2,1
Youssoufa Moukoko,FW,Germany,2004,0,0,0,0
Youstin Salas,DF,Costa Rica,1996,0.5,0,0,0
Yuki Soma,FW,Japan,1997,0.9,0,3,0
Yunus Musah,MF,United States,2002,3.8,0,4,1
Yuto Nagatomo,MF,Japan,1986,2.3,0,0,0
Zakaria Aboukhlal,FW,Morocco,2000,0.9,1,3,2
Álvaro Morata,FW,Spain,1992,2.1,3,8,5
Álvaro Zamora,MF,Costa Rica,2002,0.3,0,0,0
Ángel Correa,MF,Argentina,1995,0.1,0,0,0
Ángel Di María,MF,Argentina,1988,3.2,1,6,3
Ángelo Preciado,DF,Ecuador,1998,2.9,0,4,0
Éder Militão,DF,Brazil,1998,3.9,0,5,1
Óscar Duarte,DF,Costa Rica,1989,3,0,0,0
İlkay Gündoğan,MF,Germany,1990,2.1,1,5,2
